bookID,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genres,main_author
21,A Short History of Nearly Everything,Bill Bryson,4.21,eng,544,248558,9396,2004-09-14,Broadway Books,"Nonfiction;Science;History;Audiobook;Humor;Science,Physics;Science,Popular Science;Historical;Philosophy;Unfinished",Bill Bryson
22,Bill Bryson's African Diary,Bill Bryson,3.44,eng,55,7270,499,2002-12-03,Broadway Books,"Travel;Nonfiction;Cultural,Africa;Autobiography,Memoir;Humor;Eastern Africa,Kenya;Biography;Adventure;Travel,Travelogue;History",Bill Bryson
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256,2088,131,2004-09-14,Broadway Books,"Nonfiction;Language,Writing;Humanities,Language;Reference;Humanities,Linguistics;Humor;Language,Words;Reference,Dictionaries;History;Writing,Books About Books",Bill Bryson
24,In a Sunburned Country,Bill Bryson,04.07,eng,335,72451,4245,2001-05-15,Broadway Books,"Travel;Nonfiction;Humor;Cultural,Australia;Autobiography,Memoir;Audiobook;History;Adventure;Biography;Travel,Travelogue",Bill Bryson
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,304,49240,2211,2000-06-28,Broadway Books,"Nonfiction;Travel;Humor;Autobiography,Memoir;Writing,Essays;Biography;Audiobook;Literature,American;The United States Of America;Humor,Comedy",Bill Bryson
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299,45712,2257,1990-08-28,William Morrow Paperbacks,"Travel;Nonfiction;Humor;Autobiography,Memoir;Audiobook;Literature,American;Biography;The United States Of America;Travel,Travelogue;Humor,Comedy",Bill Bryson
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254,48701,2238,1993-03-28,William Morrow Paperbacks,"Travel;Nonfiction;Humor;Autobiography,Memoir;Biography;Audiobook;Travel,Travelogue;Adventure;Writing,Essays;Humor,Comedy",Bill Bryson
28,Notes from a Small Island,Bill Bryson,3.91,eng,324,80609,3301,1997-05-28,William Morrow Paperbacks,"Travel;Nonfiction;Humor;Autobiography,Memoir;European Literature,British Literature;Biography;Audiobook;Humor,Comedy;History;Travel,Travelogue",Bill Bryson
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270,28489,2085,1991-09-28,William Morrow Paperbacks,"Nonfiction;History;Humanities,Language;Humanities,Linguistics;Humor;Audiobook;Language,Writing;Travel;Reference;Science",Bill Bryson
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728,101233,1550,2012-09-25,Ballantine Books,"Fantasy;Fiction;Classics;Adventure;Science Fiction Fantasy;Fantasy,Epic Fantasy;Fantasy,High Fantasy;Young Adult;Literature;Fantasy,Magic",J.R.R. Tolkien
31,The Lord of the Rings (The Lord of the Rings #1-3),J.R.R. Tolkien,4.5,eng,1184,1710,91,2004-10-21,Houghton Mifflin Harcourt,"Fantasy;Classics;Fiction;Adventure;Science Fiction Fantasy;Fantasy,Epic Fantasy;Fantasy,High Fantasy;Literature;Novels;Young Adult",J.R.R. Tolkien
34,The Fellowship of the Ring (The Lord of the Rings #1),J.R.R. Tolkien,4.36,eng,398,2128944,13670,2003-09-05,Houghton Mifflin Harcourt,"Fantasy;Classics;Fiction;Adventure;Fantasy,High Fantasy;Science Fiction Fantasy;Fantasy,Epic Fantasy;Audiobook;Young Adult;Novels",J.R.R. Tolkien
35,The Lord of the Rings (The Lord of the Rings #1-3),J.R.R. Tolkien/Alan Lee,4.5,en-US,1216,1618,140,2002-10-01,Houghton Mifflin Harcourt,"Fantasy;Classics;Fiction;Adventure;Science Fiction Fantasy;Fantasy,Epic Fantasy;Fantasy,High Fantasy;Literature;Novels;Young Adult",J.R.R. Tolkien
36,The Lord of the Rings: Weapons and Warfare,Chris Smith/Christopher Lee/Richard Taylor,4.53,eng,218,19822,46,2003-11-05,Houghton Mifflin Harcourt,"Fantasy;Art;Fiction;Reference;Media Tie In;Culture,Film;Classics;Adventure;Fantasy,High Fantasy;Adult",Chris Smith
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224,359,6,2004-11-15,Houghton Mifflin Harcourt,"Fantasy;Reference;Media Tie In;Culture,Film",Jude Fisher
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas Fuchs/Andreas Schwarz,3.84,eng,558,1430,59,2005-07-28,Pragmatic Bookshelf,"Computer Science,Programming;Nonfiction;Science,Technology;Computer Science,Technical;Reference;Computer Science,Computers;Computer Science,Software;Science,Computer Science;Internet,Web;Computer Science,Coding",Dave Thomas
50,Hatchet (Brian's Saga #1),Gary Paulsen,3.72,eng,208,270244,12017,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books,"Young Adult;Fiction;Classics;Adventure;Adventure,Survival;Childrens,Middle Grade;Childrens;Academic,School;Realistic Fiction;Academic,Read For School",Gary Paulsen
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,eng,48,36,2,1994-08-28,Teacher Created Resources,Education,Donna Ickes
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144,2067,334,2001-01-23,Delacorte Press,"Nonfiction;Biography;Adventure;Adventure,Survival;Autobiography,Memoir;Biography,Autobiography;Childrens;Childrens,Middle Grade;Biography Memoir;Academic,School",Gary Paulsen
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,en-US,228,99,16,2005-11-01,The New Press,"Nonfiction;Writing,Essays;Criticism,Literary Criticism;Criticism;Language,Writing;Writing,Books About Books",Dale Peck
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304,167,4,2005-11-01,Changeling Press,"Romance;Fantasy,Paranormal;Anthologies;Adult Fiction,Erotica;Romance,Paranormal Romance;Fantasy;Paranormal,Shapeshifters;Fiction;Romance,Erotic Romance",Angela Knight
58,Changeling (Changeling #1),Delia Sherman,3.6,eng,256,978,111,2006-08-17,Viking Juvenile,"Fantasy;Young Adult;Fantasy,Urban Fantasy;Fiction;Paranormal,Fairies;Childrens,Middle Grade;Childrens;Adventure;Fairies,Fae;Fantasy,Magic",Delia Sherman
59,The Changeling Sea,Patricia A. McKillip,04.06,eng,137,4454,302,2003-04-14,Firebird,"Fantasy;Young Adult;Romance;Fiction;Fantasy,Magic;Mythology,Mermaids;Fantasy,High Fantasy;Fantasy,Fairy Tales;Young Adult,Young Adult Fantasy;Science Fiction Fantasy",Patricia A. McKillip
61,The Changeling,Zilpha Keatley Snyder,4.17,eng,228,1176,96,2004-06-08,iUniverse,"Fiction;Young Adult;Fantasy;Childrens;Childrens,Middle Grade;Childrens,Juvenile;Fantasy,Magic;Classics;Young Adult,Coming Of Age;Novels",Zilpha Keatley Snyder
63,The Changeling,Kate Horsley,3.55,eng,339,301,43,2005-04-12,Shambhala Publications,"Historical,Historical Fiction;Fiction;Fantasy;Cultural,Ireland;Historical;Literature,14th Century;Historical,Medieval;Literary Fiction;European Literature,Irish Literature;LGBT",Kate Horsley
66,The Changeling (Daughters of England #15),Philippa Carr,3.98,eng,369,345,12,1990-08-28,Ivy Books,"Historical,Historical Fiction;Romance;Fiction;Romance,Historical Romance;Historical;European Literature,British Literature;Gothic;Mystery;Literature,19th Century;Adult",Philippa Carr
67,The Known World,Edward P. Jones,3.83,eng,388,29686,2626,2006-08-29,Amistad,"Historical,Historical Fiction;Fiction;Cultural,African American;Historical;Literature;Novels;Literary Fiction;Book Club;Race;Literature,American",Edward P. Jones
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,en-US,14,55,12,2004-06-15,HarperAudio,"Historical,Historical Fiction;Fiction;Cultural,African American;Historical;Literature;Novels;Literary Fiction;Book Club;Race;Literature,American",Edward P. Jones
69,The Known World,Edward P. Jones,3.83,eng,576,22,3,2004-06-15,Harper,"Historical,Historical Fiction;Fiction;Cultural,African American;Historical;Literature;Novels;Literary Fiction;Book Club;Race;Literature,American",Edward P. Jones
71,Traders Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334,1456,82,2006-05-15,FT Press,"Economics,Finance;Economics;Business;Nonfiction;Currency,Money;Politics;History",Satyajit Das
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352,52,4,2005-12-14,Archaia,"Fantasy;Games,Role Playing Games",Mark Smylie
74,The John McPhee Reader (John McPhee Reader #1),John McPhee/William Howarth,4.42,eng,416,562,37,1982-06-01,Farrar Strauss & Giroux,"Nonfiction;Writing,Essays;Writing,Journalism;History;Science;Environment,Nature;Language,Writing;Anthologies,Collections;Literature;Travel",John McPhee
75,Uncommon Carriers,John McPhee,3.95,en-US,248,1630,203,2006-05-16,Farrar Strauss & Giroux,"Nonfiction;Writing,Essays;Travel;History;Transport;Business;Economics;Science;Writing,Journalism;Literature",John McPhee
76,Heirs of General Practice,John McPhee,4.17,eng,128,268,22,1986-04-01,Farrar Strauss & Giroux,"Nonfiction;Health,Medicine;Medical;Biography;Writing,Essays;Health;History;Science",John McPhee
77,The Control of Nature,John McPhee,4.24,en-US,288,3498,305,1990-09-01,Farrar Strauss & Giroux,"Nonfiction;Science;Environment,Nature;History;Environment;Writing,Essays;Science,Geology;Science,Natural History;Science,Engineering;Science,Geography",John McPhee
78,Annals of the Former World,John McPhee,4.34,eng,720,3115,228,1999-01-06,Farrar Strauss & Giroux,"Science;Nonfiction;Science,Geology;History;Environment,Nature;Travel;Science,Natural History;Science,Geography;Writing,Essays;Environment",John McPhee
79,Coming Into the Country,John McPhee,4.22,eng,448,5704,261,1991-04-01,Farrar Strauss & Giroux,"Nonfiction;Travel;Environment,Nature;History;Science;Environment;Adventure;Writing,Essays;Science,Natural History;Autobiography,Memoir",John McPhee
80,La Place de la Concorde Suisse,John McPhee,3.92,fre,160,698,52,1994-04-01,Farrar Strauss & Giroux,"Nonfiction;History;Travel;Writing,Essays;War;War,Military Fiction;Military,Military History;Writing,Journalism;Politics",John McPhee
81,Giving Good Weight,John McPhee,4.23,eng,288,542,36,1994-04-01,Farrar Strauss & Giroux,"Nonfiction;Writing,Essays;Language,Writing;Writing,Journalism;Food and Drink;History;Food and Drink,Food;Short Stories",John McPhee
83,Rising from the Plains,John McPhee,4.23,eng,208,1341,98,1987-11-01,Farrar Strauss & Giroux,"Nonfiction;Science;Science,Geology;History;Environment,Nature;Travel;Biography;Science,Natural History;Science,Geography;Environment",John McPhee
85,The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81,1423,70,2002-03-01,Dramatists Play Service,"Plays;Drama;Fiction;Plays,Theatre;Feminism;Academic,Read For School;Contemporary;Womens;Literature,American;Audiobook",Wendy Wasserstein
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249,2766,64,1991-07-02,Vintage Books,"Plays;Drama;Plays,Theatre;Fiction;Feminism;Humor;Adult;Literature,20th Century;Literature,American;Classics",Wendy Wasserstein
89,Active Literacy Across the Curriculum: Strategies for Reading Writing Speaking and Listening,Heidi Hayes Jacobs,3.94,eng,138,31,1,2006-03-29,Routledge,Teaching,Heidi Hayes Jacobs
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,en-US,128,62,4,2006-03-14,North Light Books,"Art,Crafts;Crafts,Beading;Nonfiction",Heidi Boyd
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192,860,53,2003-09-01,Chosen Books,"Christian;Biography;Nonfiction;Religion,Faith;Religion,Christianity;Spirituality;Biography,Autobiography;Christian,Christian Non Fiction;Christian,Christian Living;Inspirational",Heidi Baker
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,en-US,108,77,2,1997-01-28,Association for Supervision & Curriculum Development,Education;Teaching,Heidi Hayes Jacobs
93,Heidi (Heidi #1-2),Johanna Spyri/Beverly Cleary/Angelo Rinaldi,3.99,eng,352,153317,2257,2002-11-15,Kingfisher,"Classics;Fiction;Childrens;Young Adult;Historical,Historical Fiction;Childrens,Middle Grade;Historical;Childrens,Juvenile;Childrens,Childrens Classics;Literature,19th Century",Johanna Spyri
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192,55,5,2004-11-15,ASCD,Education;Teaching,Heidi Hayes Jacobs
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng,192,34,6,2003-04-28,Sovereign World,"Christian;Biography;Nonfiction;Religion,Faith;Religion,Christianity;Spirituality;Biography,Autobiography;Christian,Christian Non Fiction;Christian,Christian Living;Inspirational",Rolland Baker
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832,11797,659,2003-10-16,Workman Publishing Company,Parenting;Nonfiction;Reference;Self Help;Health;Family;Childrens;Adult;Unfinished;Education,Heidi Murkoff
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123,34,8,2004-05-10,One Hour Entertainment,Self Help,Heidi Fleiss
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,en-US,128,78,4,2004-08-19,North Light Books,"Art,Crafts;Nonfiction;Reference;Crafts,Beading;Jewellery;Crafts,Jewellery Making",Heidi Boyd
103,God Emperor of Dune (Dune Chronicles #4),Frank Herbert,3.84,eng,423,2785,166,1987-06-15,Ace Books,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space,Space Opera;Novels;Audiobook;Philosophy;Space",Frank Herbert
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436,38778,568,1987-07-01,Ace Books,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space,Space Opera;Audiobook;Space;Adventure;Novels",Frank Herbert
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331,97494,2359,1987-07-15,Ace Books,"Science Fiction;Fiction;Fantasy;Classics;Science Fiction Fantasy;Space,Space Opera;Audiobook;Novels;Speculative Fiction;Space",Frank Herbert
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,04.01,en-US,592,784,21,2004-07-01,Tor Books,"Biography;Nonfiction;Science Fiction Fantasy;Biography,Autobiography;Autobiography,Memoir;Philosophy;Biography Memoir",Brian Herbert
109,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,480,272,20,1984-04-16,Putnam,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space,Space Opera;Audiobook;Novels;Space;Speculative Fiction",Frank Herbert
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426,4789,83,2006-08-29,Tor Science Fiction,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Space,Space Opera;Short Stories;Anthologies;Audiobook;Anthologies,Collections;Space",Frank Herbert
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471,45388,644,1987-08-15,Ace Books,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space,Space Opera;Audiobook;Novels;Space;Speculative Fiction",Frank Herbert
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192,26153,102,2002-06-12,Houghton Mifflin Harcourt,"Fantasy;Art;Fiction;Classics;Culture,Film;Media Tie In;Fantasy,High Fantasy;Adventure;Science Fiction Fantasy;Adult",Gary Russell
122,The Power of One (The Power of One #1),Bryce Courtenay,4.35,eng,544,69167,4551,1996-09-29,Ballantine Books,"Fiction;Historical,Historical Fiction;Cultural,Africa;Classics;Southern Africa,South Africa;Young Adult,Coming Of Age;Historical;Young Adult;Novels;Literature",Bryce Courtenay
123,The Power of One (The Power of One #1),Bryce Courtenay,4.35,eng,291,45,13,2005-09-13,Delacorte Books for Young Readers,"Fiction;Historical,Historical Fiction;Cultural,Africa;Classics;Southern Africa,South Africa;Young Adult,Coming Of Age;Historical;Young Adult;Novels;Literature",Bryce Courtenay
129,The Power of One: One Person One Rule One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,en-US,256,16,1,2004-11-01,Thomas Nelson,Business;Leadership;Self Help,John C. Maxwell
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205,174,16,2006-05-19,Wiley Publishing,Business;Nonfiction;Self Help;Productivity;Leadership;Audiobook,Dave Lakhani
131,The Power of One: The Solo Play for Playwrights Actors and Directors,Louis E. Catron,3.67,eng,240,10,0,2000-02-07,Heinemann Drama,Performing Arts,Louis E. Catron
132,How to Buy Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,76,9,2005-05-03,William Morrow Paperbacks,Business,Adam Ginsberg
133,eBay for Dummies,Marsha Collier,3.5,eng,386,111,9,2006-10-30,Wiley Publishing,"Reference;Nonfiction;Business;Computer Science,Computers;How To;Science,Technology;Computers,Internet",Marsha Collier
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,eng,260,24,0,2006-01-24,McGraw-Hill Companies,Business;Economics,Chris Malta
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384,55,4,2004-09-17,Wiley Publishing,Business;Nonfiction;Reference,Marsha Collier
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng,260,9,0,2006-06-06,Wiley Publishing,Computers,Julia Wilkinson
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,en-US,391,22,1,2004-05-31,Wiley Publishing,Horror;Business,Marsha Collier
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,en-US,864,17,3,2005-04-25,Wiley Publishing,Reference,Marsha Collier
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873,166,4,2006-07-29,O'Reilly Media,"Computer Science,Programming;Computer Science,Computers;Computer Science,Coding;Computer Science,Software;Science,Technology;Nonfiction;Reference;Science,Computer Science;Computer Science,Technical",Lucas Carlson
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240,50,5,2005-05-03,Citadel,"Food and Drink,Cookbooks;Nonfiction",Ruby Ann Boxcar
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,04.08,eng,206,13,2,2005-05-03,Citadel,Humor,Ruby Ann Boxcar
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514,64,1,2007-01-01,O'Reilly Media,"Reference;Computer Science,Programming;Computer Science,Computers",Rob Orsini
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,04.05,eng,838,16643,1851,2004-05-31,Penguin Classics,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",Leo Tolstoy
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,04.05,eng,960,109420,5696,2002-11-05,Signet Book,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",Leo Tolstoy
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,04.05,eng,837,2904,309,2003-01-30,Penguin Books,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",Leo Tolstoy
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80,16,3,1965-11-26,Cliffs Notes,Literary Criticism,Marianne Sturman
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,04.05,eng,803,9564,726,2003-07-01,Barnes & Noble Classics,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",Leo Tolstoy
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,04.05,eng,752,474,72,2004-11-23,Dover Publications,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",Leo Tolstoy
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,04.05,eng,803,303,48,2004-08-26,Barnes & Noble,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",Leo Tolstoy
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360,411,65,2006-01-28,Mira Books,"Fiction;Writing,Books About Books;Contemporary;Womens;Womens Fiction,Chick Lit;The United States Of America;Novels;Womens Fiction",Gloria Goldreich
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,128,1204,33,1987-11-26,Cambridge University Press,"Classics;Fiction;Literature,Russian Literature;Literature;Cultural,Russia;Novels;Unfinished;Criticism",Anthony Thorlby
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng,160,3429,279,1990-07-03,Penguin Books,"Cultural,India;Fiction;Classics;Historical,Historical Fiction;Asian Literature,Indian Literature;Cultural,Asia;Literature;Novels;Academic,School;Historical",Mulk Raj Anand
163,The Untouchable,John Banville,3.95,eng,367,2163,216,1998-06-30,Vintage Books,"Fiction;Historical,Historical Fiction;Cultural,Ireland;Spy Thriller,Espionage;Novels;European Literature,Irish Literature;Literature;Literary Fiction;European Literature,British Literature;Contemporary",John Banville
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,eng,256,613,31,1996-02-01,Buccaneer Books,"Nonfiction;History;Crime,True Crime;Mystery,Crime;Autobiography,Memoir;Biography;Media Tie In;North American Hi...,American History;Biography,Autobiography;Biography Memoir",Eliot Ness
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,en-US,320,308,40,2005-09-27,Scribner Book Company,"Cultural,India;Nonfiction;Biography Memoir;Autobiography,Memoir;History;Biography;Biography,Autobiography;Social Movements,Social Justice;Historical;Anthropology",Narendra Jadhav
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,eng,100,10,0,1995-01-28,Clarity Press,"Cultural,Asia",V.T. Rajshekar
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,224,16,4,2000-12-20,Rowman & Littlefield Publishers,"Cultural,India;Biography;Politics;Autobiography,Memoir;History;Biography Memoir;Nonfiction",Vasant Moon
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,eng,216,10,0,2003-09-22,Pearson,Social Science,Barry R. Cournoyer
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,eng,48,17,0,1991-09-28,Teacher Created Resources,Education,John Carratello
180,Wrinkles in Time,George Smoot/Keay Davidson,04.01,eng,360,1035,23,1994-10-01,Harper Perennial,"Science;Science,Physics;Nonfiction;Science,Astronomy;History;Biography;Science,History Of Science;Science,Popular Science;Space",George Smoot
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,eng,250,36,6,2002-05-01,EMC/Paradigm Publishing,"Fantasy;Fiction;Classics;Young Adult;Science Fiction;Childrens;Childrens,Middle Grade;Science Fiction,Time Travel;Adventure;Science Fiction Fantasy",Madeleine L'Engle
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng,32,15,0,2002-01-01,Teaching Resources,Education,Tara MacCarthy
